Program: scann Topk: 1000 Num_split: 1 Batch: 128
L	Threashold	m	|	w	r	Metric
250	0.2	100	|	1	-1	dot_product
0.3751 %	0.40737 %	0.394856 %	0.3181277 %	|	0.4413 %	0.4417 %	0.43721 %	0.4417 %	0.43723 %	0.407318 %	200.0291347503662
250	0.2	100	|	2	-1	dot_product
0.4907 %	0.5265 %	0.517887 %	0.4390578 %	|	0.5791 %	0.5796 %	0.57381 %	0.5796 %	0.57385 %	0.540624 %	153.2895565032959
250	0.2	100	|	4	-1	dot_product
0.5887 %	0.62796 %	0.623598 %	0.5548803 %	|	0.6997 %	0.7002 %	0.69582 %	0.7002 %	0.69586 %	0.661442 %	206.55298233032227
250	0.2	100	|	8	-1	dot_product
0.6633 %	0.70631 %	0.708105 %	0.6562474 %	|	0.7955 %	0.7961 %	0.79498 %	0.7961 %	0.79502 %	0.764286 %	264.31918144226074
250	0.2	100	|	16	-1	dot_product
0.72 %	0.76251 %	0.770568 %	0.7394809 %	|	0.8698 %	0.8705 %	0.87066 %	0.8705 %	0.8707 %	0.845202 %	380.2521228790283
250	0.2	100	|	32	-1	dot_product
0.7617 %	0.80176 %	0.815695 %	0.8052377 %	|	0.926 %	0.927 %	0.92847 %	0.927 %	0.92851 %	0.911172 %	568.5467720031738
250	0.2	100	|	64	-1	dot_product
0.7942 %	0.82612 %	0.84431 %	0.850548 %	|	0.9702 %	0.9713 %	0.96991 %	0.9713 %	0.96995 %	0.9618 %	906.466007232666
250	0.2	100	|	128	-1	dot_product
0.8108 %	0.83796 %	0.858337 %	0.8739048 %	|	0.995 %	0.9963 %	0.99452 %	0.9963 %	0.99457 %	0.992517 %	1537.5654697418213
250	0.2	50	|	1	-1	dot_product
0.274 %	0.32322 %	0.341433 %	0.3055909 %	|	0.4261 %	0.4415 %	0.43558 %	0.4417 %	0.43723 %	0.407303 %	109.43841934204102
250	0.2	50	|	2	-1	dot_product
0.3493 %	0.40574 %	0.429756 %	0.4059904 %	|	0.5561 %	0.5793 %	0.57057 %	0.5796 %	0.57385 %	0.540534 %	136.9040012359619
250	0.2	50	|	4	-1	dot_product
0.4145 %	0.47126 %	0.497842 %	0.489758 %	|	0.6686 %	0.6999 %	0.69002 %	0.7002 %	0.69586 %	0.661054 %	180.76848983764648
250	0.2	50	|	8	-1	dot_product
0.4609 %	0.51645 %	0.54685 %	0.5537945 %	|	0.7537 %	0.7956 %	0.78522 %	0.7961 %	0.79501 %	0.763148 %	222.82743453979492
250	0.2	50	|	16	-1	dot_product
0.4934 %	0.54731 %	0.578935 %	0.5992583 %	|	0.818 %	0.8695 %	0.85634 %	0.8705 %	0.87069 %	0.842643 %	290.3115749359131
250	0.2	50	|	32	-1	dot_product
0.5197 %	0.56688 %	0.600144 %	0.6305287 %	|	0.866 %	0.9258 %	0.90917 %	0.927 %	0.92848 %	0.906177 %	402.80723571777344
250	0.2	50	|	64	-1	dot_product
0.5394 %	0.57871 %	0.612825 %	0.650649 %	|	0.902 %	0.9697 %	0.94528 %	0.9713 %	0.96982 %	0.9533 %	594.1696166992188
250	0.2	50	|	128	-1	dot_product
0.5493 %	0.58509 %	0.61889 %	0.6609416 %	|	0.9217 %	0.994 %	0.96574 %	0.9963 %	0.99436 %	0.980701 %	937.8259181976318
250	0.2	25	|	1	-1	dot_product
0.1442 %	0.18749 %	0.223644 %	0.2496887 %	|	0.3225 %	0.4265 %	0.37849 %	0.4415 %	0.43635 %	0.395947 %	105.60417175292969
250	0.2	25	|	2	-1	dot_product
0.1854 %	0.22724 %	0.26691 %	0.3037815 %	|	0.4099 %	0.5516 %	0.4796 %	0.5791 %	0.57082 %	0.512857 %	127.44760513305664
250	0.2	25	|	4	-1	dot_product
0.2127 %	0.25618 %	0.296468 %	0.3417964 %	|	0.48 %	0.6559 %	0.55917 %	0.699 %	0.68834 %	0.607713 %	164.86883163452148
250	0.2	25	|	8	-1	dot_product
0.2319 %	0.27447 %	0.315424 %	0.3666682 %	|	0.5263 %	0.7366 %	0.61502 %	0.793 %	0.78001 %	0.677894 %	201.35998725891113
250	0.2	25	|	16	-1	dot_product
0.2463 %	0.28666 %	0.326419 %	0.3820454 %	|	0.5603 %	0.7941 %	0.65203 %	0.8643 %	0.84697 %	0.724031 %	250.69379806518555
250	0.2	25	|	32	-1	dot_product
0.2564 %	0.29352 %	0.332697 %	0.3914309 %	|	0.584 %	0.8339 %	0.67522 %	0.9187 %	0.8942 %	0.754653 %	329.3190002441406
250	0.2	25	|	64	-1	dot_product
0.2637 %	0.29783 %	0.336261 %	0.3968944 %	|	0.601 %	0.8635 %	0.68957 %	0.9594 %	0.92489 %	0.773836 %	454.5884132385254
250	0.2	25	|	128	-1	dot_product
0.2664 %	0.29962 %	0.33772 %	0.3993263 %	|	0.6095 %	0.8773 %	0.69592 %	0.9816 %	0.9412 %	0.782794 %	674.1456985473633
