Program: faissGPU Topk: 1000 Num_split: 1 Batch: 1
L	m	k_star	|	w	Reorder	Metric
250	16	256	|	1	-1	squared_l2
0.35 %	0.362 %	0.3827 %	0.32647 %	|	0.49 %	0.52 %	0.496 %	0.52 %	0.499 %	0.4359 %	24352.717399597168
250	16	256	|	2	-1	squared_l2
0.44 %	0.466 %	0.5018 %	0.47785 %	|	0.68 %	0.73 %	0.699 %	0.73 %	0.705 %	0.6281 %	24505.47218322754
250	16	256	|	4	-1	squared_l2
0.49 %	0.531 %	0.5853 %	0.60058 %	|	0.83 %	0.9 %	0.866 %	0.9 %	0.876 %	0.7994 %	25063.037872314453
250	16	256	|	8	-1	squared_l2
0.52 %	0.548 %	0.6236 %	0.67194 %	|	0.88 %	0.96 %	0.934 %	0.96 %	0.95 %	0.9131 %	25629.854202270508
250	16	256	|	16	-1	squared_l2
0.52 %	0.552 %	0.6381 %	0.70293 %	|	0.91 %	0.99 %	0.966 %	0.99 %	0.987 %	0.9758 %	26492.19036102295
250	16	256	|	32	-1	squared_l2
0.52 %	0.553 %	0.6415 %	0.71233 %	|	0.91 %	1.0 %	0.975 %	1.0 %	0.997 %	0.9938 %	27729.296684265137
250	16	256	|	64	-1	squared_l2
0.52 %	0.553 %	0.6424 %	0.71367 %	|	0.91 %	1.0 %	0.977 %	1.0 %	1.0 %	0.997 %	29251.3370513916
250	16	256	|	128	-1	squared_l2
0.52 %	0.553 %	0.6424 %	0.71374 %	|	0.91 %	1.0 %	0.977 %	1.0 %	1.0 %	0.997 %	32707.524299621582
250	32	256	|	1	-1	squared_l2
0.42 %	0.427 %	0.4147 %	0.33334 %	|	0.52 %	0.52 %	0.499 %	0.52 %	0.499 %	0.4359 %	23367.57183074951
250	32	256	|	2	-1	squared_l2
0.56 %	0.567 %	0.5708 %	0.50287 %	|	0.73 %	0.73 %	0.705 %	0.73 %	0.705 %	0.6282 %	23931.71787261963
250	32	256	|	4	-1	squared_l2
0.63 %	0.666 %	0.6855 %	0.65913 %	|	0.9 %	0.9 %	0.876 %	0.9 %	0.876 %	0.7997 %	24482.91778564453
250	32	256	|	8	-1	squared_l2
0.65 %	0.691 %	0.7448 %	0.76293 %	|	0.96 %	0.96 %	0.95 %	0.96 %	0.95 %	0.9138 %	24990.77320098877
250	32	256	|	16	-1	squared_l2
0.65 %	0.699 %	0.7689 %	0.81074 %	|	0.99 %	0.99 %	0.987 %	0.99 %	0.987 %	0.9779 %	25748.205184936523
250	32	256	|	32	-1	squared_l2
0.66 %	0.701 %	0.7741 %	0.8262 %	|	1.0 %	1.0 %	0.997 %	1.0 %	0.997 %	0.9966 %	26966.476440429688
250	32	256	|	64	-1	squared_l2
0.66 %	0.701 %	0.7752 %	0.82841 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	28405.5233001709
250	32	256	|	128	-1	squared_l2
0.66 %	0.701 %	0.7752 %	0.82858 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	30703.83071899414
250	64	256	|	1	-1	squared_l2
0.46 %	0.482 %	0.4319 %	0.33642 %	|	0.52 %	0.52 %	0.499 %	0.52 %	0.499 %	0.4359 %	23593.950271606445
250	64	256	|	2	-1	squared_l2
0.65 %	0.673 %	0.6166 %	0.51349 %	|	0.73 %	0.73 %	0.705 %	0.73 %	0.705 %	0.6282 %	23968.982696533203
250	64	256	|	4	-1	squared_l2
0.77 %	0.81 %	0.7698 %	0.68995 %	|	0.9 %	0.9 %	0.876 %	0.9 %	0.876 %	0.7997 %	24540.5912399292
250	64	256	|	8	-1	squared_l2
0.82 %	0.86 %	0.8565 %	0.82762 %	|	0.96 %	0.96 %	0.95 %	0.96 %	0.95 %	0.9138 %	25071.382522583008
250	64	256	|	16	-1	squared_l2
0.85 %	0.879 %	0.8958 %	0.90017 %	|	0.99 %	0.99 %	0.987 %	0.99 %	0.987 %	0.9779 %	25812.554359436035
250	64	256	|	32	-1	squared_l2
0.86 %	0.885 %	0.9055 %	0.92417 %	|	1.0 %	1.0 %	0.997 %	1.0 %	0.997 %	0.9966 %	26983.165740966797
250	64	256	|	64	-1	squared_l2
0.86 %	0.885 %	0.9069 %	0.92814 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	28436.30313873291
250	64	256	|	128	-1	squared_l2
0.86 %	0.885 %	0.9069 %	0.92834 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	31536.436080932617
