Program: faissGPU Topk: 1000 Num_split: 1 Batch: 1
L	m	k_star	|	w	Reorder	Metric
250	10	256	|	1	-1	dot_product
0.13 %	0.213 %	0.2546 %	0.29356 %	|	0.35 %	0.5 %	0.453 %	0.56 %	0.572 %	0.4945 %	25728.297233581543
250	10	256	|	2	-1	dot_product
0.15 %	0.223 %	0.2789 %	0.33885 %	|	0.4 %	0.6 %	0.525 %	0.69 %	0.681 %	0.5805 %	26506.876945495605
250	10	256	|	4	-1	dot_product
0.15 %	0.232 %	0.2977 %	0.37094 %	|	0.43 %	0.66 %	0.573 %	0.78 %	0.782 %	0.6604 %	27938.175201416016
250	10	256	|	8	-1	dot_product
0.15 %	0.233 %	0.3016 %	0.38581 %	|	0.44 %	0.7 %	0.588 %	0.86 %	0.828 %	0.6914 %	28965.258598327637
250	10	256	|	16	-1	dot_product
0.15 %	0.236 %	0.3043 %	0.39548 %	|	0.44 %	0.72 %	0.602 %	0.9 %	0.86 %	0.7156 %	30116.3911819458
250	10	256	|	32	-1	dot_product
0.15 %	0.237 %	0.305 %	0.39992 %	|	0.44 %	0.72 %	0.606 %	0.91 %	0.881 %	0.7265 %	31307.339668273926
250	10	256	|	64	-1	dot_product
0.15 %	0.236 %	0.306 %	0.4023 %	|	0.44 %	0.7 %	0.603 %	0.92 %	0.894 %	0.7354 %	33688.85517120361
250	10	256	|	128	-1	dot_product
0.15 %	0.237 %	0.3067 %	0.40297 %	|	0.45 %	0.71 %	0.607 %	0.94 %	0.902 %	0.7385 %	32552.88600921631
250	25	256	|	1	-1	dot_product
0.25 %	0.413 %	0.4261 %	0.37845 %	|	0.52 %	0.56 %	0.575 %	0.56 %	0.58 %	0.534 %	23734.045028686523
250	25	256	|	2	-1	dot_product
0.32 %	0.48 %	0.4938 %	0.46608 %	|	0.64 %	0.7 %	0.69 %	0.7 %	0.698 %	0.6424 %	24812.936782836914
250	25	256	|	4	-1	dot_product
0.35 %	0.533 %	0.5544 %	0.55079 %	|	0.72 %	0.79 %	0.799 %	0.79 %	0.811 %	0.7646 %	26038.622856140137
250	25	256	|	8	-1	dot_product
0.37 %	0.555 %	0.5826 %	0.60019 %	|	0.79 %	0.87 %	0.849 %	0.87 %	0.867 %	0.8341 %	26936.054229736328
250	25	256	|	16	-1	dot_product
0.39 %	0.569 %	0.6026 %	0.6366 %	|	0.82 %	0.92 %	0.893 %	0.92 %	0.919 %	0.8968 %	27944.75555419922
250	25	256	|	32	-1	dot_product
0.39 %	0.581 %	0.614 %	0.66318 %	|	0.85 %	0.95 %	0.928 %	0.95 %	0.958 %	0.9395 %	29738.950729370117
250	25	256	|	64	-1	dot_product
0.39 %	0.589 %	0.6219 %	0.67737 %	|	0.86 %	0.96 %	0.954 %	0.96 %	0.986 %	0.9712 %	30559.420585632324
250	25	256	|	128	-1	dot_product
0.41 %	0.594 %	0.6241 %	0.68319 %	|	0.9 %	1.0 %	0.967 %	1.0 %	1.0 %	0.9852 %	33214.21146392822
250	50	256	|	1	-1	dot_product
0.45 %	0.538 %	0.5157 %	0.41279 %	|	0.56 %	0.56 %	0.58 %	0.56 %	0.58 %	0.5343 %	23945.47462463379
250	50	256	|	2	-1	dot_product
0.58 %	0.649 %	0.616 %	0.52094 %	|	0.7 %	0.7 %	0.698 %	0.7 %	0.698 %	0.6428 %	25026.845932006836
250	50	256	|	4	-1	dot_product
0.65 %	0.736 %	0.7242 %	0.64242 %	|	0.79 %	0.79 %	0.811 %	0.79 %	0.811 %	0.7661 %	26303.529739379883
250	50	256	|	8	-1	dot_product
0.71 %	0.774 %	0.7783 %	0.72587 %	|	0.87 %	0.87 %	0.867 %	0.87 %	0.867 %	0.8363 %	27205.967903137207
250	50	256	|	16	-1	dot_product
0.73 %	0.811 %	0.8285 %	0.79932 %	|	0.91 %	0.92 %	0.919 %	0.92 %	0.919 %	0.9013 %	28895.020484924316
250	50	256	|	32	-1	dot_product
0.76 %	0.836 %	0.8583 %	0.85489 %	|	0.94 %	0.95 %	0.958 %	0.95 %	0.958 %	0.9461 %	29762.983322143555
250	50	256	|	64	-1	dot_product
0.77 %	0.851 %	0.8754 %	0.88845 %	|	0.95 %	0.96 %	0.986 %	0.96 %	0.986 %	0.9806 %	31395.14923095703
250	50	256	|	128	-1	dot_product
0.8 %	0.858 %	0.882 %	0.90222 %	|	0.99 %	1.0 %	1.0 %	1.0 %	1.0 %	0.9966 %	34667.77801513672
