Program: faissGPU Topk: 1000 Num_split: 1 Batch: 1
L	m	k_star	|	w	Reorder	Metric
250	10	256	|	1	-1	dot_product
0.1 %	0.174 %	0.2894 %	0.31462 %	|	0.32 %	0.49 %	0.419 %	0.52 %	0.477 %	0.4366 %	24383.902549743652
250	10	256	|	2	-1	dot_product
0.09 %	0.203 %	0.3445 %	0.38009 %	|	0.36 %	0.57 %	0.497 %	0.63 %	0.577 %	0.5422 %	25134.5157623291
250	10	256	|	4	-1	dot_product
0.09 %	0.229 %	0.3892 %	0.43835 %	|	0.39 %	0.63 %	0.573 %	0.72 %	0.688 %	0.6572 %	26323.19927215576
250	10	256	|	8	-1	dot_product
0.09 %	0.241 %	0.4127 %	0.46418 %	|	0.41 %	0.67 %	0.615 %	0.78 %	0.758 %	0.7186 %	27470.684051513672
250	10	256	|	16	-1	dot_product
0.11 %	0.252 %	0.4267 %	0.48074 %	|	0.43 %	0.71 %	0.645 %	0.84 %	0.799 %	0.755 %	28901.74388885498
250	10	256	|	32	-1	dot_product
0.11 %	0.253 %	0.4307 %	0.48793 %	|	0.43 %	0.71 %	0.655 %	0.86 %	0.825 %	0.7708 %	29199.40948486328
250	10	256	|	64	-1	dot_product
0.1 %	0.258 %	0.438 %	0.49654 %	|	0.43 %	0.73 %	0.674 %	0.9 %	0.855 %	0.7944 %	30712.270736694336
250	10	256	|	128	-1	dot_product
0.1 %	0.26 %	0.4425 %	0.50277 %	|	0.43 %	0.74 %	0.695 %	0.92 %	0.881 %	0.8118 %	31750.035285949707
250	25	256	|	1	-1	dot_product
0.19 %	0.327 %	0.3909 %	0.36252 %	|	0.47 %	0.52 %	0.475 %	0.52 %	0.481 %	0.4451 %	22032.475471496582
250	25	256	|	2	-1	dot_product
0.19 %	0.375 %	0.4771 %	0.46362 %	|	0.53 %	0.63 %	0.577 %	0.63 %	0.584 %	0.5591 %	22885.799407958984
250	25	256	|	4	-1	dot_product
0.23 %	0.433 %	0.5654 %	0.56812 %	|	0.61 %	0.71 %	0.686 %	0.73 %	0.705 %	0.6934 %	23956.51340484619
250	25	256	|	8	-1	dot_product
0.26 %	0.468 %	0.6145 %	0.62367 %	|	0.65 %	0.77 %	0.754 %	0.79 %	0.78 %	0.7698 %	24996.256828308105
250	25	256	|	16	-1	dot_product
0.29 %	0.496 %	0.6439 %	0.66034 %	|	0.71 %	0.84 %	0.801 %	0.86 %	0.831 %	0.8164 %	26349.449157714844
250	25	256	|	32	-1	dot_product
0.29 %	0.504 %	0.6552 %	0.68257 %	|	0.7 %	0.86 %	0.826 %	0.88 %	0.862 %	0.846 %	26501.53636932373
250	25	256	|	64	-1	dot_product
0.29 %	0.518 %	0.6734 %	0.70663 %	|	0.71 %	0.9 %	0.864 %	0.92 %	0.907 %	0.8832 %	27630.186080932617
250	25	256	|	128	-1	dot_product
0.28 %	0.529 %	0.6847 %	0.7255 %	|	0.73 %	0.92 %	0.894 %	0.94 %	0.945 %	0.9128 %	29831.910133361816
250	50	256	|	1	-1	dot_product
0.38 %	0.424 %	0.4337 %	0.37211 %	|	0.52 %	0.52 %	0.481 %	0.52 %	0.481 %	0.4452 %	22885.15567779541
250	50	256	|	2	-1	dot_product
0.43 %	0.506 %	0.54 %	0.48366 %	|	0.63 %	0.63 %	0.584 %	0.63 %	0.584 %	0.5595 %	23694.682121276855
250	50	256	|	4	-1	dot_product
0.5 %	0.595 %	0.6575 %	0.61168 %	|	0.72 %	0.73 %	0.702 %	0.73 %	0.706 %	0.6949 %	24802.613258361816
250	50	256	|	8	-1	dot_product
0.52 %	0.645 %	0.7209 %	0.68745 %	|	0.77 %	0.79 %	0.777 %	0.79 %	0.781 %	0.7717 %	25841.856002807617
250	50	256	|	16	-1	dot_product
0.57 %	0.684 %	0.7585 %	0.73941 %	|	0.84 %	0.86 %	0.828 %	0.86 %	0.832 %	0.8189 %	26527.57167816162
250	50	256	|	32	-1	dot_product
0.56 %	0.697 %	0.7798 %	0.77386 %	|	0.86 %	0.88 %	0.859 %	0.88 %	0.863 %	0.8501 %	27358.7703704834
250	50	256	|	64	-1	dot_product
0.56 %	0.724 %	0.8062 %	0.80915 %	|	0.9 %	0.92 %	0.904 %	0.92 %	0.908 %	0.8887 %	28506.7081451416
250	50	256	|	128	-1	dot_product
0.57 %	0.737 %	0.8257 %	0.83982 %	|	0.91 %	0.94 %	0.941 %	0.94 %	0.946 %	0.9205 %	31614.184379577637
